0.001,0.94725,0.011349
0.062204,0.95934,0.010425
0.12341,0.96044,0.028468
0.18461,0.96264,0.014834
0.24582,0.96923,0.018533
0.30702,0.96593,0.020362
0.36822,0.95824,0.017795
0.42943,0.96044,0.0221
0.49063,0.95385,0.025798
0.55184,0.95495,0.022251
0.61304,0.95824,0.023626
0.67424,0.95604,0.024844
0.73545,0.94615,0.022251
0.79665,0.93626,0.030559
0.85786,0.92637,0.025927
0.91906,0.93516,0.025615
0.98027,0.90769,0.067582
1.0415,0.92637,0.022009
1.1027,0.91758,0.036354
1.1639,0.89341,0.056522
1.2251,0.91868,0.037427
1.2863,0.87582,0.048332
1.3475,0.9033,0.036922
1.4087,0.89341,0.05816
1.4699,0.88791,0.041052
1.5311,0.86593,0.070421
1.5923,0.88571,0.053132
1.6535,0.85055,0.063698
1.7147,0.85934,0.067899
1.7759,0.84615,0.07326
1.8371,0.84615,0.073989
1.8983,0.8033,0.055419
1.9595,0.82527,0.073342
2.0207,0.8011,0.084876
2.0819,0.82527,0.068027
2.1431,0.78462,0.064327
2.2043,0.82308,0.09656
2.2656,0.8033,0.07149
2.3268,0.76044,0.071179
2.388,0.74286,0.065771
2.4492,0.78901,0.082852
2.5104,0.71758,0.072348
2.5716,0.76703,0.061469
2.6328,0.76044,0.07715
2.694,0.77802,0.089844
2.7552,0.72088,0.0556
2.8164,0.70769,0.073844
2.8776,0.72637,0.077609
2.9388,0.66813,0.13704
3,0.71319,0.080827
