;setosa    ;versicolor;virginica 
setosa    ;1.000000;0.000000;0.000000
versicolor;0.000000;0.928826;0.070922
virginica ;0.000000;0.028470;0.971631
;setosa    ;versicolor;virginica 
setosa    ;1.000000;0.000000;0.000000
versicolor;0.000000;0.928339;0.080292
virginica ;0.000000;0.019544;0.978102
