0.551,0.141,0.721,0
0.469,0.518,0.733,0.0219
0.388,0.623,0.802,0.172
0.367,0.704,0.838,0.27
0.286,0.769,0.873,0.366
0.204,0.834,0.912,0.504
0.184,0.869,0.926,0.572
0,1,1,1
