1,0.78276,0.058507
2,0.76724,0.063028
3,0.78517,0.061773
4,0.78931,0.062169
5,0.79517,0.056272
6,0.78828,0.067561
7,0.79966,0.061936
8,0.77345,0.067781
9,0.78241,0.060564
10,0.77552,0.06092
11,0.79655,0.055774
12,0.77586,0.070088
13,0.78759,0.059569
14,0.78448,0.057654
15,0.79862,0.063473
16,0.78862,0.064772
17,0.80034,0.057428
18,0.79724,0.065073
19,0.80172,0.062068
20,0.80586,0.066601
25,0.81724,0.065665
30,0.81138,0.057462
35,0.79931,0.074068
40,0.78414,0.078207
45,0.76069,0.085007
50,0.75621,0.081903
55,0.74862,0.081172
60,0.74276,0.088821
70,0.68483,0.10971
80,0.55759,0.15075
90,0.30586,0.070627
100,0.31379,0.075213
110,0.32897,0.07488
120,0.32966,0.069886
130,0.33,0.075174
140,0.31483,0.065876
150,0.30759,0.080038
