1,0.92865,0.032259
2,0.9227,0.034363
3,0.94405,0.038845
4,0.94649,0.033704
5,0.94919,0.030071
6,0.95,0.029849
7,0.94324,0.034251
8,0.9473,0.032906
9,0.94838,0.032617
10,0.94432,0.037603
11,0.95135,0.03191
12,0.94378,0.034074
13,0.94757,0.035379
14,0.93459,0.038641
15,0.94595,0.035208
16,0.94081,0.04005
17,0.94622,0.037144
18,0.94108,0.037319
19,0.93324,0.039261
20,0.93541,0.039344
25,0.93216,0.043714
30,0.92811,0.039591
35,0.91946,0.047045
40,0.89189,0.046416
45,0.88405,0.048787
50,0.87297,0.04912
55,0.88405,0.047407
60,0.84649,0.071132
70,0.75378,0.15006
80,0.57081,0.18627
90,0.49324,0.2095
100,0.5027,0.19318
110,0.35189,0.14898
120,0.26351,0.040903
130,0.27108,0.036333
140,0.26081,0.039246
150,0.26865,0.044438
