;psoriasis;seboreic ;l. planus;pit rosea;c. dermat;pit rubra
psoriasis;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000
seboreic ;0.000000;0.940415;0.000000;0.080139;0.000000;0.000000
l. planus;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000
pit rosea;0.000000;0.088083;0.000000;0.881533;0.000000;0.000000
c. dermat;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000
pit rubra;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000
