;psoriasis;seboreic ;l. planus;pit rosea;c. dermat;pit rubra
psoriasis;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000
seboreic ;0.001484;0.993769;0.000000;0.003106;0.000000;0.000000
l. planus;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000
pit rosea;0.001484;0.579439;0.000000;0.419255;0.000000;0.000000
c. dermat;0.001484;0.003115;0.000000;0.000000;0.993827;0.000000
pit rubra;0.041543;0.133956;0.000000;0.000000;0.000000;0.387931
