;psoriasis;seboreic ;l. planus;pit rosea;c. dermat;pit rubra
psoriasis;0.992331;0.012887;0.000000;0.000000;0.000000;0.000000
seboreic ;0.000000;0.884021;0.000000;0.154639;0.000000;0.000000
l. planus;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000
pit rosea;0.000000;0.074742;0.000000;0.900344;0.000000;0.000000
c. dermat;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000
pit rubra;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000
