;psoriasis;seboreic ;l. planus;pit rosea;c. dermat;pit rubra
psoriasis;0.993893;0.011204;0.000000;0.000000;0.000000;0.000000
seboreic ;0.000000;0.845938;0.000000;0.192982;0.000000;0.000000
l. planus;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000
pit rosea;0.000000;0.039216;0.000000;0.950877;0.000000;0.000000
c. dermat;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000
pit rubra;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000
