;psoriasis;seboreic ;l. planus;pit rosea;c. dermat;pit rubra
psoriasis;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000
seboreic ;0.000000;0.925072;0.000000;0.087542;0.000000;0.000000
l. planus;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000
pit rosea;0.000000;0.089337;0.000000;0.895623;0.000000;0.000000
c. dermat;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000
pit rubra;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000
